id	text	page	type	choices	choiceNames	reverse	placeholder	min	max	disabled	checkType	width	height	inline	randomize
NA	Survey	1	h2	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
title	What is your title?	1	textInput	NA	NA	NA	"e.g., Faculty, Grad, etc."	NA	NA	1	nchar	500px	NA	NA	0
area	What is your area?	1	textInput	NA	NA	NA	"e.g., Clinical, HDFS, etc."	NA	NA	1	nchar	500px	NA	NA	0
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2018/schedule.html"" target=""_blank"">See the Bootcamp schedule here!</a></p>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0
tracks	What Days/track(s) did you attend? 	1	checkboxGroupInput	"1,2,3"	"Day 1 (Slow-R),Day 1 (Fast-R),Day 2"	NA	NA	NA	NA	1	is.null	500px	NA	0	0
NA	Slow-R Survey	2	h2	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
NA	"If you attended the Slow-R track, please answer the following questions."	2	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
NA	"If you did not attend the Slow-R track, please skip to the next page."	2	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2018/talks/slow-r.html"" target=""_blank"">Remind yourself about the Slow-R tutorial here!</a></p>"	2	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0
slowr1_intro	"How would you rate the introduction to R, Rstudio, and data types? (1 - not informative, 7 = very informative)"	2	sliderInput	1	NA	NA	NA	1	7	0	NA	500px	NA	NA	0
slowr1_diff	"Overall, how difficult was the material in the above session?"	2	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0
slowr2_index	"How would you rate the session on data indexing and subsetting? (1 - not informative, 7 = very informative)"	2	sliderInput	1	NA	NA	NA	1	7	0	NA	500px	NA	NA	0
slowr2_diff	"Overall, how difficult was the material in the above session?"	2	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0
slowr3_funcs	"How would you rate the session on packages, scripts, and functions? (1 - not informative, 7 = very informative)"	2	sliderInput	1	NA	NA	NA	1	7	0	NA	500px	NA	NA	0
slow3_diff	"Overall, how difficult was the material in the above session?"	2	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0
NA	Fast-R Survey	3	h2	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
NA	"If you attended the Fast-R track, please answer the following questions."	3	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
NA	"If you did not attend the Fast-R track, please skip to the next page."	3	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2018/talks/IntroBasicEFA_2018_0815.html"" target=""_blank"">Remind yourself about the Exploratory Factor Analyisis tutorial here!</a></p>"	3	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0
