Timestamp,Your current level of experience/expertise with R,Your enthusiasm for banjo music,How old do you feel (in years),Preferred number of hours spent sleeping/day,Favorite day of the week,Is there a reproducibility 'crisis' in psychology?
7/24/2018 14:18:42,pro,10,45,8,Sunday,"Yes, a significant crisis"
8/14/2018 11:37:15,lots,5,29,8.5,Saturday,"Yes, a slight crisis"
8/15/2018 9:37:17,limited,1,35,6,Sunday,"Yes, a significant crisis"
8/15/2018 9:37:37,limited,2,25,8,Friday,"Yes, a significant crisis"
8/15/2018 9:41:33,limited,1,27,10,Saturday,"Yes, a slight crisis"
8/15/2018 9:46:56,lots,3,19,7.5,Friday,"Yes, a slight crisis"
8/15/2018 9:49:14,limited,2,30,10,Saturday,"Yes, a slight crisis"
8/15/2018 9:53:34,pro,2,26,9,Saturday,"Yes, a slight crisis"
8/15/2018 9:54:02,limited,1,26,8,Sunday,"Yes, a slight crisis"
8/15/2018 9:55:01,limited,3,25,10,Saturday,"Yes, a slight crisis"
8/15/2018 9:59:33,lots,7,26,8,Friday,"Yes, a significant crisis"
8/15/2018 10:04:11,limited,10,22,16,Saturday,"Yes, a significant crisis"
8/15/2018 10:03:25,limited,10,22,16,Saturday,"Yes, a significant crisis"
8/15/2018 10:09:34,limited,6,25,8,Friday,"Yes, a significant crisis"
8/15/2018 10:12:48,limited,10,22,16,Saturday,"Yes, a significant crisis"
8/15/2018 10:13:35,limited,5,150,7,Thursday,"Yes, a significant crisis"
8/15/2018 10:16:09,limited,8,30,9-10,Thursday,"Yes, a slight crisis"
8/15/2018 10:22:35,lots,5,30,8,Friday,"Yes, a slight crisis"
8/15/2018 10:23:56,limited,3,27,9,Friday,"Yes, a significant crisis"
8/15/2018 10:30:11,lots,3,159,8,Friday,"Yes, a slight crisis"
8/15/2018 10:45:38,limited,3,30,9,Saturday,"Yes, a significant crisis"
8/15/2018 11:30:51,limited,1,26,9,Saturday,"Yes, a slight crisis"
8/15/2018 11:40:07,"none, limited, lots, pro",1,1000,24,Monday,Don't know
8/15/2018 11:47:00,lots,6,39,9,Friday,No crisis
8/15/2018 11:56:30,limited,10,21,0,Friday,Don't know
8/15/2018 12:50:49,none,6,70,8,Saturday,"Yes, a significant crisis"
8/15/2018 12:53:38,limited,1,30,8,Friday,"Yes, a significant crisis"
8/15/2018 13:40:27,limited,8,62,9,Thursday,No crisis
8/15/2018 13:49:21,limited,6,24,8,Sunday,"Yes, a slight crisis"
8/15/2018 14:58:29,limited,3,30,8,Friday,"Yes, a slight crisis"
8/15/2018 15:48:03,lots,7,21,12,Saturday,"Yes, a slight crisis"
8/15/2018 16:14:55,limited,7,27,8,Friday,"Yes, a significant crisis"
8/15/2018 16:21:58,lots,3,30,7,Friday,"Yes, a significant crisis"
8/15/2018 16:28:46,lots,3,21,7,Saturday,"Yes, a significant crisis"
8/15/2018 18:37:54,limited,4,28,8,Saturday,"Yes, a slight crisis"
8/15/2018 18:54:23,none,7,30,12,Saturday,"Yes, a slight crisis"
8/15/2018 18:55:26,lots,2,25,15,Saturday,No crisis
8/15/2018 19:36:36,none,4,18,8,Monday,Don't know
8/15/2018 20:05:43,none,1,22,7,Friday,"Yes, a slight crisis"
8/15/2018 21:13:05,limited,3,37,8.6,Thursday,"Yes, a significant crisis"
8/15/2018 21:36:25,none,6,29,8,Friday,"Yes, a slight crisis"
8/15/2018 22:02:54,limited,3,22,8,Friday,"Yes, a significant crisis"
8/15/2018 22:26:34,limited,4,38,7,Sunday,"Yes, a significant crisis"
8/15/2018 22:28:04,none,2,5,9,Saturday,Don't know
8/15/2018 23:04:05,limited,4,30,8,Thursday,Don't know
8/16/2018 1:11:41,limited,2,30,8,Saturday,"Yes, a significant crisis"
8/16/2018 7:50:51,none,4,28,8,Saturday,"Yes, a slight crisis"
8/16/2018 8:27:23,limited,10,74,6,Thursday,"Yes, a significant crisis"
8/16/2018 8:55:20,none,2,30,7,Saturday,"Yes, a slight crisis"
8/16/2018 9:04:58,limited,7,22,9,Saturday,"Yes, a significant crisis"
8/16/2018 9:07:03,limited,4,12,7,Saturday,"Yes, a slight crisis"
8/16/2018 9:08:19,none,2,24,7,Friday,"Yes, a significant crisis"
8/16/2018 9:13:04,lots,1,25,8,Saturday,"Yes, a significant crisis"
8/16/2018 9:14:41,none,5,22,8,Friday,"Yes, a slight crisis"
8/16/2018 9:36:36,limited,6,30,7,Saturday,Don't know
8/16/2018 9:59:35,limited,4,30,9,Friday,"Yes, a significant crisis"
